#CET-8k-gmfofb2
#Global Mirror Failover/Failback
#Nov 7, 2013 11:21:17 PM

H1,H2,J2
DS8000:2107.BWP21:VOL:E09B,DS8000:2107.BWN81:VOL:DC9B,DS8000:2107.BWN81:VOL:DD9B
DS8000:2107.BWP21:VOL:E09C,DS8000:2107.BWN81:VOL:DC9C,DS8000:2107.BWN81:VOL:DD9C
DS8000:2107.BWP21:VOL:E09D,DS8000:2107.BWN81:VOL:DC9D,DS8000:2107.BWN81:VOL:DD9D
DS8000:2107.BWP21:VOL:E09E,DS8000:2107.BWN81:VOL:DC9E,DS8000:2107.BWN81:VOL:DD9E
DS8000:2107.BWP21:VOL:E09F,DS8000:2107.BWN81:VOL:DC9F,DS8000:2107.BWN81:VOL:DD9F
DS8000:2107.BWP21:VOL:E0A0,DS8000:2107.BWN81:VOL:DCA0,DS8000:2107.BWN81:VOL:DDA0
DS8000:2107.BWP21:VOL:E0A1,DS8000:2107.BWN81:VOL:DCA1,DS8000:2107.BWN81:VOL:DDA1
DS8000:2107.BWP21:VOL:E0A2,DS8000:2107.BWN81:VOL:DCA2,DS8000:2107.BWN81:VOL:DDA2
DS8000:2107.BWP21:VOL:E0A3,DS8000:2107.BWN81:VOL:DCA3,DS8000:2107.BWN81:VOL:DDA3
DS8000:2107.BWP21:VOL:E0A4,DS8000:2107.BWN81:VOL:DCA4,DS8000:2107.BWN81:VOL:DDA4
DS8000:2107.BWP21:VOL:E0A5,DS8000:2107.BWN81:VOL:DCA5,DS8000:2107.BWN81:VOL:DDA5
DS8000:2107.BWP21:VOL:E0A6,DS8000:2107.BWN81:VOL:DCA6,DS8000:2107.BWN81:VOL:DDA6
DS8000:2107.BWP21:VOL:E0A7,DS8000:2107.BWN81:VOL:DCA7,DS8000:2107.BWN81:VOL:DDA7
DS8000:2107.BWP21:VOL:E0A8,DS8000:2107.BWN81:VOL:DCA8,DS8000:2107.BWN81:VOL:DDA8
DS8000:2107.BWP21:VOL:E0A9,DS8000:2107.BWN81:VOL:DCA9,DS8000:2107.BWN81:VOL:DDA9
DS8000:2107.BWP21:VOL:E0AA,DS8000:2107.BWN81:VOL:DCAA,DS8000:2107.BWN81:VOL:DDAA
DS8000:2107.BWP21:VOL:E0AB,DS8000:2107.BWN81:VOL:DCAB,DS8000:2107.BWN81:VOL:DDAB
DS8000:2107.BWP21:VOL:E0AC,DS8000:2107.BWN81:VOL:DCAC,DS8000:2107.BWN81:VOL:DDAC
